#Frequency (Hz), CH1_S21_S1re (), CH1_S21_S1im (), CH1_S21_S1dB (dB), CH1_S21_S1Ph (rad)
5.8000000000e+09, -6.5002840000e-06, -1.8940630000e-05, -9.3968543745e+01, -1.9013938198e+00
5.8002000000e+09, 2.0890240000e-06, -2.4790670000e-05, -9.2083505089e+01, -1.4867283954e+00
5.8004000000e+09, -1.9540730000e-05, -7.9869120000e-05, -8.1699944304e+01, -1.8107422496e+00
5.8006000000e+09, -4.0616640000e-06, -5.5487130000e-06, -1.0325273572e+02, -2.2026782723e+00
5.8008000000e+09, -2.5795090000e-05, -3.9189840000e-05, -8.6573345321e+01, -2.1529204703e+00
5.8010000000e+09, 9.4803000000e-06, -4.3216120000e-05, -8.7082962068e+01, -1.3548474638e+00
5.8012000000e+09, -3.0732960000e-05, -3.9582200000e-05, -8.6001073892e+01, -2.2310015807e+00
5.8014000000e+09, -2.6945960000e-05, -2.5085810000e-05, -8.8679380864e+01, -2.3919295446e+00
5.8016000000e+09, -2.8762130000e-05, -3.9792280000e-05, -8.6178594138e+01, -2.1966654360e+00
5.8018000000e+09, -5.1519820000e-05, -6.4892100000e-05, -8.1633419671e+01, -2.2418254061e+00
5.8020000000e+09, -3.0474970000e-05, -5.8974190000e-05, -8.3558885956e+01, -2.0477547343e+00
5.8022000000e+09, -2.5054970000e-05, -4.0964170000e-05, -8.6371755879e+01, -2.1197244116e+00
5.8024000000e+09, -6.7532920000e-06, -1.6869190000e-05, -9.4812538088e+01, -1.9515896663e+00
5.8026000000e+09, -3.5425740000e-05, 3.3652810000e-06, -8.8974605909e+01, -3.2363038032e+00
5.8028000000e+09, -3.7971240000e-05, -1.3821230000e-05, -8.7870559793e+01, -2.7925075277e+00
5.8030000000e+09, -2.2275520000e-05, -1.7737930000e-06, -9.3015991788e+01, -3.0621306227e+00
5.8032000000e+09, -7.2441500000e-05, -5.6628090000e-05, -8.0729114808e+01, -2.4781054005e+00
5.8034000000e+09, -4.9546140000e-05, -2.6099830000e-06, -8.6087768711e+01, -3.0889634716e+00
5.8036000000e+09, -1.2973410000e-06, 5.6199640000e-06, -1.0477985200e+02, -4.4855181260e+00
5.8038000000e+09, -5.2957950000e-05, -2.5204270000e-05, -8.4634668464e+01, -2.6973859042e+00
5.8040000000e+09, -1.8649170000e-05, -2.1465290000e-05, -9.0922930023e+01, -2.2861073603e+00
5.8042000000e+09, -5.8073620000e-05, -2.2300210000e-05, -8.4123064626e+01, -2.7749559144e+00
5.8044000000e+09, -6.4909550000e-05, 7.6061730000e-06, -8.3694598994e+01, -3.2582417838e+00
5.8046000000e+09, 3.8971850000e-06, 2.6848870000e-05, -9.1330927590e+01, -4.8565349190e+00
5.8048000000e+09, -8.3190410000e-06, 4.6169130000e-06, -1.0043244282e+02, -3.6482523076e+00
5.8050000000e+09, 1.0615320000e-05, 1.8444940000e-05, -9.3439968831e+01, -5.2346094102e+00
5.8052000000e+09, -3.0721990000e-05, 2.4771070000e-06, -9.0222870334e+01, -3.2220483734e+00
5.8054000000e+09, -4.4026950000e-05, 3.0861050000e-05, -8.5389854494e+01, -3.7529613911e+00
5.8056000000e+09, -4.7965930000e-05, -2.2908100000e-05, -8.5489029229e+01, -2.6960323577e+00
5.8058000000e+09, -6.7677150000e-05, 1.3263200000e-05, -8.3227481911e+01, -3.3351174690e+00
5.8060000000e+09, -2.4774160000e-05, 4.5896100000e-05, -8.5653974077e+01, -4.2174199369e+00
5.8062000000e+09, 7.8579050000e-06, 5.2433650000e-05, -8.5511338515e+01, -4.8611457031e+00
5.8064000000e+09, -3.0474660000e-05, 2.9757140000e-05, -8.7413166847e+01, -3.9150787363e+00
5.8066000000e+09, -3.6531660000e-06, 2.1198290000e-05, -9.3346881854e+01, -4.5417321808e+00
5.8068000000e+09, 2.5153520000e-06, 1.7122180000e-06, -1.1033450637e+02, -5.6855252784e+00
5.8070000000e+09, -3.9356870000e-05, 1.1329300000e-05, -8.7753850443e+01, -3.4218756966e+00
5.8072000000e+09, -2.0283770000e-05, 3.6663340000e-05, -8.7555665550e+01, -4.2070586466e+00
5.8074000000e+09, 4.9724790000e-05, 1.1482240000e-05, -8.5842928843e+01, -6.0562472987e+00
5.8076000000e+09, 1.7227480000e-05, 2.8462450000e-05, -8.9558927397e+01, -5.2566748043e+00
5.8078000000e+09, 2.7067090000e-06, 3.9467440000e-05, -8.8054842446e+01, -4.7808625734e+00
5.8080000000e+09, 2.5416490000e-05, 6.0980530000e-05, -8.3600532628e+01, -5.1072909811e+00
5.8082000000e+09, -2.2211700000e-05, 3.9336920000e-05, -8.6902095794e+01, -4.1983657020e+00
5.8084000000e+09, 3.7380470000e-05, 2.7142180000e-05, -8.6708060993e+01, -5.6551526092e+00
5.8086000000e+09, 1.1978280000e-05, 4.9563670000e-05, -8.5850205426e+01, -4.9495167523e+00
5.8088000000e+09, 2.8766070000e-05, 2.3038290000e-06, -9.0794621979e+01, -6.2032674677e+00
5.8090000000e+09, 2.0195780000e-05, 1.1260420000e-05, -9.2719169544e+01, -5.7745541077e+00
5.8092000000e+09, 3.4246090000e-05, 9.1065630000e-05, -8.0238452613e+01, -5.0720881528e+00
5.8094000000e+09, 9.1166580000e-06, 7.3987930000e-05, -8.2551340294e+01, -4.8349891835e+00
5.8096000000e+09, 1.4404910000e-05, 4.3172250000e-05, -8.6837476431e+01, -5.0344346953e+00
5.8098000000e+09, 2.7900590000e-05, 3.2768730000e-05, -8.7323044791e+01, -5.4177181359e+00
5.8100000000e+09, 2.5454530000e-05, 2.4077220000e-05, -8.9109269812e+01, -5.5255865892e+00
5.8102000000e+09, 6.3096390000e-06, 3.1755530000e-05, -8.9795453914e+01, -4.9085286295e+00
5.8104000000e+09, 6.6078650000e-05, 1.3266820000e-05, -8.3427149596e+01, -6.0850464257e+00
5.8106000000e+09, 6.9917540000e-05, -2.0306860000e-05, -8.2756560447e+01, -6.5658486757e+00
5.8108000000e+09, 6.4270060000e-05, 4.7995340000e-06, -8.3815673683e+01, -6.2086460612e+00
5.8110000000e+09, 7.8761410000e-05, -2.3637160000e-07, -8.2073691238e+01, -6.2861864075e+00
5.8112000000e+09, 4.7582290000e-05, -1.4442010000e-05, -8.6068380601e+01, -6.5778651155e+00
5.8114000000e+09, 4.4191180000e-05, -2.3053650000e-05, -8.6047905120e+01, -6.7640260227e+00
5.8116000000e+09, 5.4284320000e-05, 4.9527860000e-05, -8.2676226219e+01, -5.5435730602e+00
