#Frequency (Hz), CH1_S21_S1re (), CH1_S21_S1im (), CH1_S21_S1dB (dB), CH1_S21_S1Ph (rad)
5.8118000000e+09, 6.5126060000e-05, -1.8546980000e-05, -8.3386233266e+01, -6.5606263857e+00
5.8120000000e+09, 6.3216180000e-05, -3.9960110000e-05, -8.2523477415e+01, -6.8468870970e+00
5.8122000000e+09, 2.8523940000e-05, -3.2371730000e-05, -8.7301266811e+01, -7.1316861740e+00
5.8124000000e+09, 5.7212660000e-05, -1.8495740000e-06, -8.4845620745e+01, -6.3155021069e+00
5.8126000000e+09, 4.5764830000e-05, -1.1591400000e-05, -8.6519327554e+01, -6.5312503606e+00
5.8128000000e+09, 3.5016670000e-05, 2.2468560000e-07, -8.9114324329e+01, -6.2767688628e+00
5.8130000000e+09, 4.3224510000e-05, -6.6994140000e-05, -8.1967769571e+01, -7.2809893089e+00
5.8132000000e+09, 6.3756620000e-05, -2.2630330000e-05, -8.3394154411e+01, -6.6242619560e+00
5.8134000000e+09, 4.1731660000e-05, -5.6355510000e-07, -8.7589894863e+01, -6.2966887443e+00
5.8136000000e+09, 3.3597730000e-05, -4.2271740000e-06, -8.9405591025e+01, -6.4083448977e+00
5.8138000000e+09, 2.0475220000e-05, -5.0895860000e-05, -8.5214878741e+01, -7.4714971918e+00
5.8140000000e+09, 6.4517890000e-05, -7.2451340000e-05, -8.0263293959e+01, -7.1264402306e+00
5.8142000000e+09, 2.4170180000e-05, -5.8142610000e-06, -9.2090092535e+01, -6.5192551259e+00
5.8144000000e+09, 1.1825930000e-05, -4.3774250000e-05, -8.6869689509e+01, -7.5901232612e+00
5.8146000000e+09, -1.9809260000e-05, -2.6157240000e-05, -8.9679424030e+01, -8.5021476803e+00
5.8148000000e+09, 3.3808730000e-05, 8.2676990000e-07, -8.9416826491e+01, -6.2587358483e+00
5.8150000000e+09, 4.5261400000e-05, -5.0168510000e-05, -8.3405141523e+01, -7.1199593111e+00
5.8152000000e+09, 2.5493240000e-05, -7.6413870000e-05, -8.1878232422e+01, -7.5319725755e+00
5.8154000000e+09, -2.0777500000e-06, -3.8830400000e-05, -8.8204146014e+01, -7.9074389879e+00
5.8156000000e+09, 3.5292970000e-05, -2.8780400000e-05, -8.6832111088e+01, -6.9672889623e+00
5.8158000000e+09, -1.6787980000e-05, -6.5671160000e-05, -8.3377581968e+01, -8.1042586556e+00
5.8160000000e+09, -3.6449000000e-05, -4.9966870000e-05, -8.4173438435e+01, -8.4842092087e+00
5.8162000000e+09, -1.7754930000e-05, -3.3423680000e-05, -8.8439417746e+01, -8.3422829175e+00
5.8164000000e+09, -2.5341020000e-05, -2.2531790000e-05, -8.9393592428e+01, -8.6979936983e+00
5.8166000000e+09, -2.8895330000e-06, -5.2149180000e-05, -8.5641737233e+01, -7.9093340159e+00
5.8168000000e+09, 8.4087110000e-06, -5.6335230000e-05, -8.4888703513e+01, -7.7058134918e+00
5.8170000000e+09, -4.8592350000e-05, -5.2774620000e-05, -8.2884984030e+01, -8.5981444789e+00
5.8172000000e+09, -6.7165510000e-05, -2.7700000000e-05, -8.2774898251e+01, -9.0336158356e+00
5.8174000000e+09, -4.7602030000e-06, 7.5169840000e-06, -1.0101469082e+02, -1.0431057452e+01
5.8176000000e+09, -1.7028120000e-05, 5.3539260000e-06, -9.4967250662e+01, -9.7294080877e+00
5.8178000000e+09, -3.4851490000e-05, -5.7611150000e-05, -8.3435500029e+01, -8.3980281253e+00
5.8180000000e+09, -1.7681780000e-05, -3.0451960000e-05, -8.9065897986e+01, -8.3800479737e+00
5.8182000000e+09, -1.0397820000e-04, -3.2316950000e-05, -7.9260672552e+01, -9.1234379873e+00
5.8184000000e+09, -4.7251800000e-05, -2.4765800000e-05, -8.5457532852e+01, -8.9420179692e+00
5.8186000000e+09, -8.5826490000e-05, 1.3626660000e-05, -8.1219453654e+01, -9.5822335611e+00
5.8188000000e+09, -4.7421340000e-05, -2.8729360000e-05, -8.5122735873e+01, -8.8800813374e+00
5.8190000000e+09, -3.8041540000e-05, -2.4305720000e-05, -8.6908114215e+01, -8.8562272272e+00
5.8192000000e+09, -5.3885850000e-05, 1.8652560000e-05, -8.4879025078e+01, -9.7580183802e+00
5.8194000000e+09, -2.6997640000e-06, -3.5879580000e-06, -1.0695462765e+02, -8.4990497900e+00
5.8196000000e+09, -4.0497280000e-05, -1.5637940000e-06, -8.7845011953e+01, -9.3861823456e+00
5.8198000000e+09, -5.8593690000e-05, -6.5979400000e-06, -8.4588261220e+01, -9.3126453534e+00
5.8200000000e+09, -2.8935350000e-05, 1.6892780000e-05, -8.9497670331e+01, -9.9532088418e+00
5.8202000000e+09, -3.8864480000e-05, 4.0962750000e-06, -8.8160963285e+01, -9.5297891918e+00
5.8204000000e+09, -5.9890750000e-05, 2.6906400000e-05, -8.3654364542e+01, -9.8470146877e+00
5.8206000000e+09, -5.0599220000e-05, 3.5356530000e-05, -8.4190333890e+01, -1.0034668822e+01
5.8208000000e+09, -5.0241230000e-05, 2.1272560000e-05, -8.5262644947e+01, -9.8252997568e+00
5.8210000000e+09, -2.6413450000e-05, 1.6565420000e-05, -9.0122964371e+01, -9.9849279590e+00
5.8212000000e+09, -9.2120380000e-05, 3.1454590000e-05, -8.0233953137e+01, -9.7538164802e+00
5.8214000000e+09, -4.0706010000e-05, 2.0935450000e-05, -8.6787595250e+01, -9.8998067959e+00
5.8216000000e+09, -5.9119620000e-05, 2.1306790000e-05, -8.4035009045e+01, -9.7706887858e+00
5.8218000000e+09, -3.3125220000e-05, 1.8714850000e-05, -8.8393736837e+01, -9.9390439227e+00
5.8220000000e+09, -1.0364780000e-05, 4.7461790000e-05, -8.6270787639e+01, -1.0780568224e+01
5.8222000000e+09, -1.3597990000e-05, 5.0048550000e-05, -8.5702860350e+01, -1.0730282382e+01
5.8224000000e+09, 1.4187730000e-05, 4.8307180000e-05, -8.5960433966e+01, -1.1281239599e+01
5.8226000000e+09, -2.8696070000e-05, 2.5317400000e-05, -8.8343298478e+01, -1.0147705158e+01
5.8228000000e+09, 1.4896490000e-06, 5.0955500000e-05, -8.5852468560e+01, -1.1024800276e+01
5.8230000000e+09, -5.6291140000e-06, 4.1843200000e-05, -8.7489606402e+01, -1.0861848389e+01
5.8232000000e+09, 1.9543130000e-05, 1.0472890000e-04, -7.9450012142e+01, -1.1180059280e+01
5.8234000000e+09, -2.7927660000e-05, 4.6304080000e-05, -8.5340193615e+01, -1.0452852057e+01
5.8236000000e+09, -1.2686200000e-05, 7.4042480000e-05, -8.2484723632e+01, -1.0825885187e+01
5.8238000000e+09, -8.8292890000e-06, 8.9261780000e-05, -8.0944403908e+01, -1.0896980451e+01
5.8240000000e+09, -1.0862220000e-05, 4.9284990000e-05, -8.5939713854e+01, -1.0778646192e+01
5.8242000000e+09, 5.9776270000e-05, 1.7231710000e-05, -8.4122739657e+01, -1.2285709652e+01
5.8244000000e+09, 3.2073800000e-05, 3.9618770000e-05, -8.5852980735e+01, -1.1676117810e+01
5.8246000000e+09, 2.0135760000e-05, 5.0714920000e-05, -8.5261552397e+01, -1.1373524775e+01
5.8248000000e+09, 6.1786570000e-05, 2.3168910000e-05, -8.3610738108e+01, -1.2207614896e+01
5.8250000000e+09, 8.4695740000e-06, 3.5783430000e-05, -8.8689630682e+01, -1.1227987038e+01
5.8252000000e+09, 5.8315090000e-05, 7.0423050000e-06, -8.4621502182e+01, -1.2446189591e+01
5.8254000000e+09, 7.7004660000e-05, 2.3786180000e-05, -8.1873874115e+01, -1.2266775447e+01
5.8256000000e+09, 3.5644170000e-05, 4.3054050000e-05, -8.5052669998e+01, -1.1687093595e+01
5.8258000000e+09, 2.7197000000e-05, 8.5092940000e-05, -8.0979707009e+01, -1.1304928168e+01
5.8260000000e+09, 5.3025920000e-05, 9.8386710000e-05, -7.9033787013e+01, -1.1489897420e+01
5.8262000000e+09, 6.8523290000e-05, 2.1171860000e-05, -8.2887253039e+01, -1.2266701994e+01
5.8264000000e+09, 2.9444960000e-05, -3.8761350000e-06, -9.0545165979e+01, -1.2697258039e+01
5.8266000000e+09, 7.3631680000e-05, 2.1106290000e-05, -8.2315765260e+01, -1.2287208975e+01
5.8268000000e+09, 2.6785270000e-05, 3.0743980000e-05, -8.7792009930e+01, -1.1712268628e+01
5.8270000000e+09, 3.9119310000e-05, -2.6160770000e-07, -8.8151982061e+01, -1.2573057946e+01
5.8272000000e+09, 1.7840610000e-05, 1.4346530000e-05, -9.2805773151e+01, -1.1889104184e+01
5.8274000000e+09, 3.6159780000e-05, -2.9027030000e-05, -8.6675417124e+01, -1.3242782213e+01
5.8276000000e+09, 3.9232040000e-05, -3.6754020000e-05, -8.5391005119e+01, -1.3319168823e+01
5.8278000000e+09, 7.4808380000e-05, -2.0368270000e-05, -8.2210417020e+01, -1.2832199393e+01
5.8280000000e+09, 5.4095740000e-05, -2.3086680000e-05, -8.4610062644e+01, -1.2969743281e+01
5.8282000000e+09, 8.1600980000e-05, 1.3900730000e-05, -8.1641858002e+01, -1.2397640271e+01
5.8284000000e+09, 6.7779670000e-05, -2.1696360000e-05, -8.2954363530e+01, -1.2876165440e+01
5.8286000000e+09, 4.6727120000e-05, -5.0177220000e-06, -8.6558826810e+01, -1.2673344199e+01
5.8288000000e+09, 4.8713150000e-05, 5.4100890000e-06, -8.6193835975e+01, -1.2455763748e+01
5.8290000000e+09, 3.8116450000e-05, -2.4857670000e-06, -8.8359319687e+01, -1.2631493467e+01
5.8292000000e+09, 5.3484010000e-05, -2.6409570000e-05, -8.4487934809e+01, -1.3025033394e+01
5.8294000000e+09, 4.1377520000e-05, -2.1252270000e-05, -8.6647912850e+01, -1.3040853768e+01
5.8296000000e+09, 3.5057170000e-05, 1.2019970000e-05, -8.8621761275e+01, -1.2236063845e+01
5.8298000000e+09, 2.8705640000e-05, -5.7845950000e-05, -8.3798464799e+01, -1.3676529554e+01
5.8300000000e+09, 1.7580770000e-05, -4.4516910000e-05, -8.6400054794e+01, -1.3761044579e+01
5.8302000000e+09, -9.2112300000e-06, -4.2879030000e-05, -8.7159172987e+01, -1.4348770084e+01
5.8304000000e+09, -2.4769730000e-05, -5.4617770000e-05, -8.4441029909e+01, -1.4562936331e+01
5.8306000000e+09, 2.0866340000e-05, -5.6743560000e-05, -8.4370846077e+01, -1.3784784677e+01
5.8308000000e+09, -3.9615590000e-05, -5.4202940000e-05, -8.3460783631e+01, -1.4768315469e+01
5.8310000000e+09, 2.0998190000e-06, -7.3094950000e-05, -8.2718669967e+01, -1.4108447561e+01
5.8312000000e+09, -2.9242090000e-07, -5.7075140000e-05, -8.4870946292e+01, -1.4142290334e+01
5.8314000000e+09, -5.1371000000e-05, -6.2728290000e-05, -8.1821823233e+01, -1.4823353249e+01
5.8316000000e+09, -2.5693630000e-05, -6.3249520000e-05, -8.3315521679e+01, -1.4523029424e+01
5.8318000000e+09, -5.0997040000e-05, -2.1316610000e-05, -8.5149751454e+01, -1.5312039141e+01
5.8320000000e+09, -5.0397020000e-05, -5.2969510000e-05, -8.2720012170e+01, -1.4897683171e+01
5.8322000000e+09, -4.4429320000e-05, -4.0955260000e-05, -8.4375527448e+01, -1.4963229881e+01
5.8324000000e+09, -3.1463030000e-05, -2.0160000000e-05, -8.8550063772e+01, -1.5138116761e+01
5.8326000000e+09, -8.5314240000e-05, -3.9406320000e-05, -8.0539715457e+01, -1.5275260648e+01
5.8328000000e+09, -4.0603610000e-05, -5.7257810000e-05, -8.3074077461e+01, -1.4753998583e+01
5.8330000000e+09, -3.1243500000e-05, -6.0781040000e-05, -8.3306374497e+01, -1.4611978338e+01
5.8332000000e+09, -6.5252240000e-05, -1.5027190000e-05, -8.3483662367e+01, -1.5481615805e+01
5.8334000000e+09, -3.1777500000e-05, -3.7569790000e-05, -8.6159516443e+01, -1.4839232706e+01
5.8336000000e+09, -6.8328770000e-05, -2.0450690000e-05, -8.2935338630e+01, -1.5417150288e+01
5.8338000000e+09, -4.2877610000e-05, -6.5470940000e-05, -8.2128986276e+01, -1.4716986483e+01
5.8340000000e+09, -8.4986980000e-05, -2.0380360000e-05, -8.1170120534e+01, -1.5472602038e+01
5.8342000000e+09, -3.3707530000e-05, 5.5221670000e-06, -8.9330438147e+01, -1.5870346706e+01
5.8344000000e+09, -8.2966410000e-05, -1.1386710000e-05, -8.1540910613e+01, -1.5571570559e+01
5.8346000000e+09, -5.5471950000e-06, 2.9044300000e-06, -1.0406635435e+02, -1.6190300633e+01
5.8348000000e+09, -5.3533150000e-05, -1.0624790000e-05, -8.5259755220e+01, -1.5512038113e+01
5.8350000000e+09, -8.3867960000e-05, -4.0914320000e-06, -8.1517754922e+01, -1.5659217705e+01
5.8352000000e+09, -5.2070470000e-05, 2.3243520000e-05, -8.4879035439e+01, -1.6127807586e+01
5.8354000000e+09, -6.3690340000e-05, -1.3056630000e-05, -8.3739744309e+01, -1.5505763009e+01
5.8356000000e+09, -6.4923530000e-05, 8.6367240000e-06, -8.3675773567e+01, -1.5840215948e+01
5.8358000000e+09, -2.8685470000e-05, -2.1057790000e-05, -8.8974679515e+01, -1.5074720897e+01
5.8360000000e+09, -4.7218000000e-05, 1.6414610000e-05, -8.6022374029e+01, -1.6042529264e+01
5.8362000000e+09, -9.7682950000e-05, 6.3600370000e-05, -7.8668775183e+01, -1.6285104206e+01
5.8364000000e+09, -3.2935440000e-05, 4.4257840000e-05, -8.5166267496e+01, -1.6638998929e+01
5.8366000000e+09, -8.4733090000e-05, 1.3420810000e-05, -8.1331331209e+01, -1.5865047586e+01
5.8368000000e+09, -5.4461850000e-05, 2.6136910000e-05, -8.4377986243e+01, -1.6155411938e+01
5.8370000000e+09, -4.8677580000e-05, 7.7605850000e-05, -8.0761254815e+01, -1.6718550313e+01
5.8372000000e+09, -2.4070320000e-05, 5.7876380000e-05, -8.4057118181e+01, -1.6884628778e+01
5.8374000000e+09, -5.3657110000e-05, 4.6941710000e-05, -8.2939132483e+01, -1.6426706060e+01
5.8376000000e+09, -2.3050880000e-05, 4.5166460000e-05, -8.5898384374e+01, -1.6806863199e+01
5.8378000000e+09, -9.6701560000e-06, 3.0054730000e-05, -9.0013925317e+01, -1.6967468606e+01
5.8380000000e+09, -4.7352620000e-05, 2.7935840000e-05, -8.5196075722e+01, -1.6240962823e+01
5.8382000000e+09, 1.7369480000e-05, 5.8718190000e-05, -8.4260237843e+01, -1.7566368751e+01
5.8384000000e+09, 5.8185870000e-06, 6.2174130000e-05, -8.4089934814e+01, -1.7372073146e+01
5.8386000000e+09, 1.1987330000e-05, 3.6388600000e-05, -8.8333253378e+01, -1.7596988917e+01
5.8388000000e+09, -5.8077380000e-05, 5.4799490000e-05, -8.1954539958e+01, -1.6464330071e+01
5.8390000000e+09, -1.3921740000e-05, 6.4215990000e-05, -8.3647668273e+01, -1.7065267865e+01
5.8392000000e+09, -4.3545960000e-06, 5.8685570000e-05, -8.4605526964e+01, -1.7204693172e+01
5.8394000000e+09, -1.4637170000e-05, 1.9944760000e-05, -9.2132200537e+01, -1.6645651792e+01
5.8396000000e+09, 4.0427000000e-05, 7.5397180000e-05, -8.1355436790e+01, -1.7770936127e+01
5.8398000000e+09, 2.9145780000e-05, 6.6196030000e-05, -8.2813828291e+01, -1.7693513581e+01
5.8400000000e+09, 2.0367360000e-06, 9.1965170000e-05, -8.0725402828e+01, -1.7300902794e+01
5.8402000000e+09, 4.7275030000e-05, 4.0151160000e-05, -8.4148728340e+01, -1.8145462522e+01
5.8404000000e+09, 3.9039640000e-05, 4.4080970000e-05, -8.4600179235e+01, -1.8003581181e+01
5.8406000000e+09, 5.4122680000e-05, 6.2637450000e-05, -8.1641373531e+01, -1.7991361301e+01
5.8408000000e+09, 5.9997480000e-05, 3.2197360000e-05, -8.3338221380e+01, -1.8357023695e+01
5.8410000000e+09, 8.5832690000e-05, 4.4703700000e-05, -8.0284610807e+01, -1.8369388462e+01
5.8412000000e+09, 7.1823020000e-05, 1.0305790000e-05, -8.2786217923e+01, -1.8707040020e+01
5.8414000000e+09, 6.9849510000e-05, 2.8356590000e-05, -8.2454185044e+01, -1.8463916260e+01
5.8416000000e+09, 9.3000420000e-05, -3.9387190000e-06, -8.0622519013e+01, -1.8891882253e+01
5.8418000000e+09, 3.9133840000e-05, 1.4452550000e-05, -8.7593674863e+01, -1.8495782343e+01
5.8420000000e+09, 4.4794920000e-05, -1.8248830000e-05, -8.6308575234e+01, -1.9236413408e+01
5.8422000000e+09, 7.4919330000e-05, 3.8005660000e-06, -8.2496960486e+01, -1.8798870593e+01
5.8424000000e+09, 7.0975290000e-05, 6.9138310000e-07, -8.2977444401e+01, -1.8839815049e+01
5.8426000000e+09, 4.2395260000e-05, -6.6089780000e-05, -8.2100516263e+01, -1.9849989949e+01
5.8428000000e+09, 7.5538030000e-05, -2.3277370000e-06, -8.2432564848e+01, -1.8880361605e+01
5.8430000000e+09, 6.1135400000e-05, -1.5097510000e-05, -8.4017051187e+01, -1.9091663839e+01
5.8432000000e+09, 4.8517780000e-05, 1.9836360000e-06, -8.6274728147e+01, -1.8808693956e+01
5.8434000000e+09, 7.1729500000e-05, -4.6119410000e-05, -8.1383388947e+01, -1.9420968256e+01
5.8436000000e+09, 1.4810200000e-05, -3.9080310000e-05, -8.7578033978e+01, -2.0058107037e+01
5.8438000000e+09, 6.5215300000e-05, -6.8153550000e-05, -8.0507104426e+01, -1.9656981528e+01
5.8440000000e+09, 5.7920100000e-05, -5.2678690000e-05, -8.2125549447e+01, -1.9587598311e+01
5.8442000000e+09, 6.0797190000e-05, -3.9292320000e-05, -8.2806534033e+01, -1.9423315201e+01
5.8444000000e+09, 1.7013810000e-05, -5.2721950000e-05, -8.5129926764e+01, -2.0108194523e+01
5.8446000000e+09, 6.9004190000e-05, -3.2758350000e-05, -8.2339823821e+01, -1.9292783831e+01
5.8448000000e+09, 4.8517500000e-05, -4.0047930000e-05, -8.4025478563e+01, -1.9539613363e+01
5.8450000000e+09, 2.7127350000e-05, -4.7410900000e-05, -8.5252468024e+01, -1.9900643332e+01
5.8452000000e+09, 4.7109770000e-05, -4.9537290000e-05, -8.3303787987e+01, -1.9660066175e+01
5.8454000000e+09, 2.2552470000e-05, -5.7293520000e-05, -8.4212277333e+01, -2.0045348955e+01
5.8456000000e+09, 1.4511320000e-05, -4.0463550000e-05, -8.7333268727e+01, -2.0076012708e+01
5.8458000000e+09, -2.3603020000e-05, -6.3958290000e-05, -8.3327558003e+01, -2.0773885475e+01
5.8460000000e+09, 1.7188950000e-06, -7.3006910000e-05, -8.2730313881e+01, -2.0396812319e+01
5.8462000000e+09, 2.1410220000e-05, -4.5198590000e-05, -8.6018324705e+01, -1.9977971492e+01
5.8464000000e+09, -2.6769310000e-05, -1.1590190000e-04, -7.8492482751e+01, -2.0647337186e+01
5.8466000000e+09, 6.9423340000e-06, -1.1447510000e-04, -7.8809836155e+01, -2.0359781505e+01
5.8468000000e+09, -2.7059890000e-05, -3.4006310000e-05, -8.7238446615e+01, -2.1092484985e+01
5.8470000000e+09, -1.9568830000e-05, -5.4343280000e-05, -8.4767568797e+01, -2.0765993337e+01
5.8472000000e+09, -3.9325070000e-05, -8.1312560000e-05, -8.0884059957e+01, -2.0870817073e+01
5.8474000000e+09, -8.2860640000e-05, -7.3457380000e-05, -7.9114432098e+01, -2.1265832688e+01
5.8476000000e+09, -2.5498120000e-05, -3.9105700000e-05, -8.6616610814e+01, -2.0998153756e+01
5.8478000000e+09, -7.9876740000e-05, -7.5414370000e-05, -7.9183783452e+01, -2.1234478021e+01
5.8480000000e+09, -4.0487350000e-05, -4.9573230000e-05, -8.3875625897e+01, -2.1105204297e+01
5.8482000000e+09, -8.2921940000e-05, -3.3140340000e-05, -8.0983057814e+01, -2.1610937858e+01
5.8484000000e+09, -5.6432190000e-05, -4.8475310000e-05, -8.2569257085e+01, -2.1281452097e+01
5.8486000000e+09, -2.2907850000e-05, -5.9230490000e-05, -8.3943695664e+01, -2.0789391013e+01
5.8488000000e+09, -8.0326110000e-05, -5.0360800000e-05, -8.0463130611e+01, -2.1431145155e+01
5.8490000000e+09, -7.6920160000e-05, -6.3427720000e-05, -8.0026229360e+01, -2.1301591567e+01
5.8492000000e+09, -9.1559090000e-05, -3.3296100000e-05, -8.0226561232e+01, -2.1642359384e+01
5.8494000000e+09, -9.4241310000e-05, 3.4167870000e-05, -7.9978828650e+01, -2.2338966161e+01
5.8496000000e+09, -9.0936520000e-05, 1.3994220000e-05, -8.0723582178e+01, -2.2143840724e+01
5.8498000000e+09, -7.9095290000e-05, 3.5135540000e-05, -8.1254850710e+01, -2.2409183674e+01
5.8500000000e+09, -3.0035780000e-05, 1.7019390000e-05, -8.9237938071e+01, -2.2506675271e+01
5.8502000000e+09, -1.0915840000e-04, 1.6445200000e-05, -7.9141387944e+01, -2.2140678522e+01
5.8504000000e+09, -7.9353300000e-05, 4.3235410000e-05, -8.0879774937e+01, -2.2490026966e+01
5.8506000000e+09, -9.3665050000e-05, 3.6370280000e-05, -7.9958532882e+01, -2.2361529543e+01
5.8508000000e+09, -7.5373000000e-05, 2.5610540000e-05, -8.1981170544e+01, -2.2318693458e+01
5.8510000000e+09, -9.5740480000e-05, 2.5469440000e-05, -8.0081127100e+01, -2.2251152574e+01
