#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
5.0876360000e+09, -3.7671960000e-03, 2.6394210000e-03, -4.6745190463e+01, -1.8572924088e+03, 1.1610320000e-02, -3.5132200000e-02, -2.8635740264e+01, -1.2516203153e+00, -1.7658630000e-02, 2.7543240000e-02, -2.9704306586e+01, -1.0660005958e+03, 0.0000000000e+00
5.0903340000e+09, 2.9708840000e-04, 4.4962520000e-03, -4.6924067688e+01, -1.8583180334e+03, 1.1700750000e-02, -3.4663910000e-02, -2.8733835041e+01, -1.2452569531e+00, 2.7169430000e-02, 9.3757290000e-03, -3.0829767248e+01, -1.0678092138e+03, 0.0000000000e+00
5.0930320000e+09, 3.9195200000e-03, 2.2846440000e-03, -4.6865074625e+01, -1.8592951083e+03, 1.2096970000e-02, -3.4391000000e-02, -2.8764496731e+01, -1.2325650014e+00, 4.2505740000e-02, -3.5430250000e-02, -2.5139890626e+01, -1.0688363627e+03, 0.0000000000e+00
5.0957300000e+09, 4.1091610000e-03, -1.9425150000e-03, -4.6848997723e+01, -1.8602644438e+03, 1.2678180000e-02, -3.4566160000e-02, -2.8678826436e+01, -1.2192515366e+00, 1.9569810000e-02, -7.5350830000e-02, -2.2174754180e+01, -1.0694581966e+03, 0.0000000000e+00
5.0984280000e+09, 6.8499960000e-04, -4.4657710000e-03, -4.6901073112e+01, -1.8612414447e+03, 1.2892070000e-02, -3.4854660000e-02, -2.8597897196e+01, -1.2165212463e+00, -2.4241720000e-02, -8.4576950000e-02, -2.1112073389e+01, -1.0699914384e+03, 0.0000000000e+00
5.1011260000e+09, -3.3855020000e-03, -3.1337220000e-03, -4.6719908800e+01, -1.8622176474e+03, 1.2855640000e-02, -3.5323130000e-02, -2.8498606066e+01, -1.2217536726e+00, -5.9109120000e-02, -5.9543580000e-02, -2.1524689224e+01, -1.0704940351e+03, 0.0000000000e+00
5.1038240000e+09, -4.5856480000e-03, 1.0951160000e-03, -4.6531104238e+01, -1.8631988667e+03, 1.2629830000e-02, -3.5759830000e-02, -2.8421571482e+01, -1.2312870518e+00, -6.4039010000e-02, -1.9010550000e-02, -2.3504319106e+01, -1.0709945223e+03, 0.0000000000e+00
5.1065220000e+09, -1.5132020000e-03, 4.4520010000e-03, -4.6554094268e+01, -1.8642075977e+03, 1.2355200000e-02, -3.5648250000e-02, -2.8466581814e+01, -1.2371657731e+00, -3.9894130000e-02, 9.9482460000e-03, -2.7719824596e+01, -1.0715274769e+03, 0.0000000000e+00
5.1092200000e+09, 2.8379760000e-03, 3.6308030000e-03, -4.6729101417e+01, -1.8651986842e+03, 1.2254330000e-02, -3.5316190000e-02, -2.8546786768e+01, -1.2368064132e+00, -5.8038640000e-03, 1.2093940000e-02, -3.7448524400e+01, -1.0724064537e+03, 0.0000000000e+00
5.1119180000e+09, 4.5451140000e-03, -3.5840190000e-04, -4.6822183547e+01, -1.8661847277e+03, 1.2293870000e-02, -3.5188080000e-02, -2.8571913937e+01, -1.2346775337e+00, 1.6265050000e-02, -8.6091810000e-03, -3.4702234659e+01, -1.0749115038e+03, 0.0000000000e+00
