#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), S11re (), S11im (), S11dB (dB), S11Ph (rad), S22re (), S22im (), S22dB (dB), S22Ph (rad), Power (dBm)
1.0000000000e+07, -4.9568860000e-02, 3.3233830000e-02, -2.4483598156e+01, 2.5509699933e+00, -6.7378490000e-03, 4.1465800000e-02, -2.7533017540e+01, 1.7318801605e+00, -8.4540670000e-02, 3.0476310000e-02, -2.0928074350e+01, 2.7956008060e+00, 0.0000000000e+00
1.2698000000e+07, 2.3105150000e-03, 5.9742190000e-02, -2.4467886175e+01, 1.5321408296e+00, 6.2213650000e-04, 3.8207240000e-02, -2.8355935323e+01, 1.5545145560e+00, -6.4756260000e-02, 7.1965580000e-02, -2.0281483546e+01, 2.3035134449e+00, 0.0000000000e+00
1.5396000000e+07, 5.1539930000e-02, 2.9905580000e-02, -2.4496850292e+01, 5.2576410233e-01, 3.9170470000e-03, 3.5284030000e-02, -2.8995239857e+01, 1.4602343141e+00, -1.3798280000e-02, 8.4405650000e-02, -2.1358031080e+01, 1.7328387665e+00, 0.0000000000e+00
1.8094000000e+07, 5.2761360000e-02, -2.6439500000e-02, -2.4580704331e+01, -4.6453907603e-01, 7.4634100000e-03, 3.3299570000e-02, -2.9338366949e+01, 1.3503107640e+00, 2.0027950000e-02, 5.2526370000e-02, -2.5002939069e+01, 1.2065197397e+00, 0.0000000000e+00
2.0792000000e+07, 5.9283500000e-03, -5.8569670000e-02, -2.4602276332e+01, -1.4699211168e+00, 1.0453530000e-02, 3.0967820000e-02, -2.9713140221e+01, 1.2452456607e+00, 1.5200860000e-02, 2.3499390000e-02, -3.1060788178e+01, 9.9663031809e-01, 0.0000000000e+00
2.3490000000e+07, -4.5464550000e-02, -3.6187760000e-02, -2.4715230488e+01, -2.4693227216e+00, 1.1453930000e-02, 2.9102450000e-02, -3.0095967126e+01, 1.1958429706e+00, 9.2851660000e-03, 1.4082940000e-02, -3.5458513206e+01, 9.8789703849e-01, 0.0000000000e+00
2.6188000000e+07, -5.4189680000e-02, 1.7601450000e-02, -2.4886070056e+01, -3.4556543645e+00, 1.2819690000e-02, 2.7884140000e-02, -3.0260091671e+01, 1.1398652282e+00, 5.4068710000e-03, -1.3454690000e-05, -4.5341052946e+01, -2.4884378096e-03, 0.0000000000e+00
2.8886000000e+07, -1.4395340000e-02, 5.4909480000e-02, -2.4918371545e+01, -4.4559941454e+00, 1.4456020000e-02, 2.6818860000e-02, -3.0323454447e+01, 1.0764187113e+00, -1.4443540000e-02, -1.1093800000e-02, -3.4792699180e+01, -2.4866201511e+00, 0.0000000000e+00
3.1584000000e+07, 3.8583420000e-02, 4.2066860000e-02, -2.4870087971e+01, -5.4546220580e+00, 1.5507050000e-02, 2.5914270000e-02, -3.0399965952e+01, 1.0315555247e+00, -3.7464830000e-02, -3.0615270000e-03, -2.8498620076e+01, -3.0600564637e+00, 0.0000000000e+00
3.4282000000e+07, 5.6380950000e-02, -9.5549780000e-03, -2.4854377542e+01, -6.4510620026e+00, 1.6611840000e-02, 2.6019450000e-02, -3.0209230467e+01, 1.0025910987e+00, -5.3602160000e-02, 1.8305880000e-02, -2.4937254620e+01, -3.4706875160e+00, 0.0000000000e+00
3.6980000000e+07, 2.2891530000e-02, -5.2397670000e-02, -2.4855136151e+01, -7.4420911285e+00, 1.8110000000e-02, 2.5642840000e-02, -3.0063313218e+01, 9.5589469074e-01, -5.2521780000e-02, 5.7833680000e-02, -2.2144372807e+01, -3.9750881496e+00, 0.0000000000e+00
3.9678000000e+07, -3.1423550000e-02, -4.7094320000e-02, -2.4941293558e+01, -8.4423859912e+00, 1.9054670000e-02, 2.5074610000e-02, -3.0035686642e+01, 9.2097728783e-01, -7.1359830000e-03, 8.9961570000e-02, -2.0891618974e+01, -4.6332321521e+00, 0.0000000000e+00
4.2376000000e+07, -5.6258460000e-02, 2.1974130000e-04, -2.4996176948e+01, -9.4286838655e+00, 2.0387530000e-02, 2.4342540000e-02, -2.9964487266e+01, 8.7358830739e-01, 5.4348330000e-02, 6.2936190000e-02, -2.1602263442e+01, -5.4246951350e+00, 0.0000000000e+00
4.5074000000e+07, -3.0003040000e-02, 4.6996840000e-02, -2.5073952896e+01, -1.0427393105e+01, 2.1198840000e-02, 2.3166590000e-02, -3.0060870967e+01, 8.2972234093e-01, 6.2464810000e-02, -4.3154730000e-03, -2.4066612231e+01, -6.3521621721e+00, 0.0000000000e+00
4.7772000000e+07, 2.2499620000e-02, 5.0126330000e-02, -2.5201538823e+01, -1.1417478382e+01, 2.1045690000e-02, 2.2001450000e-02, -3.0329273544e+01, 8.0759715262e-01, 1.7235350000e-02, -4.4546780000e-02, -2.6417846859e+01, -7.4848151978e+00, 0.0000000000e+00
5.0470000000e+07, 5.3123730000e-02, 8.2314930000e-03, -2.5391189634e+01, -1.2412643674e+01, 2.0734200000e-02, 2.1381890000e-02, -3.0520312053e+01, 8.0077563426e-01, -3.4997560000e-02, -3.8011030000e-02, -2.5735428080e+01, -8.5981276594e+00, 0.0000000000e+00
5.3168000000e+07, 3.4863380000e-02, -3.8880550000e-02, -2.5642905866e+01, -1.3406189575e+01, 2.0404340000e-02, 2.1505640000e-02, -3.0560953029e+01, 8.1166986801e-01, -6.5261440000e-02, 3.7846950000e-03, -2.3692285410e+01, -9.4827058993e+00, 0.0000000000e+00
5.5866000000e+07, -1.3720430000e-02, -5.0847370000e-02, -2.5569396938e+01, -1.4400725529e+01, 2.1209080000e-02, 2.1964410000e-02, -3.0304627719e+01, 8.0289160554e-01, -5.2231380000e-02, 5.5138490000e-02, -2.2389468802e+01, -1.0237245170e+01, 0.0000000000e+00
5.8564000000e+07, -5.0549150000e-02, -1.6402930000e-02, -2.5490933753e+01, -1.5394188486e+01, 2.2639830000e-02, 2.2069240000e-02, -3.0001679930e+01, 7.7263656884e-01, -4.4949720000e-03, 6.9496030000e-02, -2.3142669510e+01, -1.0930984706e+01, 0.0000000000e+00
6.1262000000e+07, -4.1565780000e-02, 3.3611540000e-02, -2.5440214076e+01, -1.6387947255e+01, 2.3591000000e-02, 2.1490360000e-02, -2.9920940388e+01, 7.3883520165e-01, 2.2784390000e-02, 4.2645540000e-02, -2.6311981242e+01, -1.1486263439e+01, 0.0000000000e+00
6.3960000000e+07, 5.4784350000e-03, 5.2898250000e-02, -2.5484840310e+01, -1.7381957209e+01, 2.3835790000e-02, 2.1080280000e-02, -2.9945950643e+01, 7.2412697628e-01, 1.8515510000e-02, 2.1445920000e-02, -3.0954188227e+01, -1.1707772513e+01, 0.0000000000e+00
6.6658000000e+07, 4.7375610000e-02, 2.4204070000e-02, -2.5481697647e+01, -1.8377228547e+01, 2.4100730000e-02, 2.0905620000e-02, -2.9922990950e+01, 7.1452464291e-01, 1.4008140000e-02, 1.4175190000e-02, -3.4010301264e+01, -1.1775045258e+01, 0.0000000000e+00
6.9356000000e+07, 4.6042000000e-02, -2.6390900000e-02, -2.5503140890e+01, -1.9370030281e+01, 2.4534280000e-02, 2.0670270000e-02, -2.9875040384e+01, 7.0012709698e-01, 8.0629820000e-03, 4.3026530000e-03, -4.0781861073e+01, -1.2076181970e+01, 0.0000000000e+00
7.2054000000e+07, 2.9627180000e-03, -5.2376580000e-02, -2.5603383413e+01, -2.0363846762e+01, 2.4531690000e-02, 2.0436850000e-02, -2.9916261239e+01, 6.9458850140e-01, -4.3241340000e-03, 2.4549360000e-03, -4.6068664115e+01, -9.9411306754e+00, 0.0000000000e+00
7.4752000000e+07, -4.2002540000e-02, -3.0931090000e-02, -2.5652801258e+01, -2.1356401959e+01, 2.4757430000e-02, 2.0218720000e-02, -2.9906651389e+01, 6.8482493310e-01, -1.0875480000e-02, 5.1766770000e-03, -3.8384102647e+01, -9.8690380320e+00, 0.0000000000e+00
7.7450000000e+07, -4.8786510000e-02, 1.8206890000e-02, -2.5667720682e+01, -2.2348335992e+01, 2.4989980000e-02, 2.0190290000e-02, -2.9862584830e+01, 6.7956091798e-01, -2.3645810000e-02, 7.3207080000e-03, -3.2127400017e+01, -9.7250173173e+00, 0.0000000000e+00
8.0148000000e+07, -1.1366080000e-02, 5.0566640000e-02, -2.5708660439e+01, -2.3340845315e+01, 2.5388190000e-02, 2.0425470000e-02, -2.9739736334e+01, 6.7749487605e-01, -3.6270490000e-02, 3.0939960000e-02, -2.6434331291e+01, -1.0131030765e+01, 0.0000000000e+00
8.2846000000e+07, 3.5895110000e-02, 3.7099110000e-02, -2.5743349102e+01, -2.4330850104e+01, 2.5995170000e-02, 2.0344420000e-02, -2.9627152532e+01, 6.6405508317e-01, -1.4766230000e-02, 6.1094220000e-02, -2.4033429576e+01, -1.0758426273e+01, 0.0000000000e+00
8.5544000000e+07, 5.0404650000e-02, -9.7547120000e-03, -2.5790903231e+01, -2.5323906054e+01, 2.6553500000e-02, 2.0063210000e-02, -2.9556089138e+01, 6.4706075168e-01, 2.4718240000e-02, 5.4929140000e-02, -2.4403085644e+01, -1.1418430136e+01, 0.0000000000e+00
8.8242000000e+07, 1.9056500000e-02, -4.7188810000e-02, -2.5867113061e+01, -2.6319729396e+01, 2.6708380000e-02, 1.9548770000e-02, -2.9603908012e+01, 6.3183822221e-01, 3.7850990000e-02, 2.2591240000e-02, -2.7115134379e+01, -1.2028272913e+01, 0.0000000000e+00
9.0940000000e+07, -2.8691170000e-02, -4.1232300000e-02, -2.5980335565e+01, -2.7311467525e+01, 2.6560460000e-02, 1.8988980000e-02, -2.9722267451e+01, 6.2067872656e-01, 2.7082830000e-02, -3.5755850000e-03, -3.1271072239e+01, -1.2697635516e+01, 0.0000000000e+00
9.3638000000e+07, -4.9581500000e-02, 1.4244350000e-03, -2.6090023736e+01, -2.8303055145e+01, 2.6099610000e-02, 1.8743680000e-02, -2.9861035538e+01, 6.2280979110e-01, 1.6530960000e-03, -1.8753770000e-02, -3.4504614190e+01, -1.4049246787e+01, 0.0000000000e+00
9.6336000000e+07, -2.5971080000e-02, 4.2181070000e-02, -2.6101715170e+01, -2.9293243148e+01, 2.6231090000e-02, 1.8822910000e-02, -2.9819772533e+01, 6.2242755207e-01, -3.3181480000e-02, -6.4733090000e-03, -2.9419863165e+01, -1.5515295203e+01, 0.0000000000e+00
9.9034000000e+07, 2.1039090000e-02, 4.4774440000e-02, -2.6112961471e+01, -3.0284401514e+01, 2.6522180000e-02, 1.9108270000e-02, -2.9712043327e+01, 6.2432842434e-01, -3.9517630000e-02, 3.4655130000e-02, -2.5586786730e+01, -1.6427898691e+01, 0.0000000000e+00
1.0173200000e+08, 4.8671430000e-02, 6.8178170000e-03, -2.6170126054e+01, -3.1276753683e+01, 2.7037480000e-02, 1.9212590000e-02, -2.9585485156e+01, 6.1779870936e-01, -7.1281070000e-03, 5.6767650000e-02, -2.4850041066e+01, -1.7153846995e+01, 0.0000000000e+00
1.0443000000e+08, 3.2320570000e-02, -3.7015040000e-02, -2.6171309850e+01, -3.2268928002e+01, 2.7462520000e-02, 1.9097460000e-02, -2.9512075682e+01, 6.0763261876e-01, 2.0056100000e-02, 4.2425560000e-02, -2.6571481151e+01, -1.7720359292e+01, 0.0000000000e+00
1.0712800000e+08, -1.3156060000e-02, -4.6879780000e-02, -2.6251058714e+01, -3.3260319373e+01, 2.7679120000e-02, 1.8752850000e-02, -2.9516347031e+01, 5.9547124803e-01, 2.3969540000e-02, 2.2250910000e-02, -2.9707616161e+01, -1.8101323960e+01, 0.0000000000e+00
1.0982600000e+08, -4.6085070000e-02, -1.4609160000e-02, -2.6312927443e+01, -3.4250536144e+01, 2.7721930000e-02, 1.8351000000e-02, -2.9565337380e+01, 5.8474185590e-01, 1.7606590000e-02, 6.5334140000e-03, -3.4526222342e+01, -1.8494228353e+01, 0.0000000000e+00
1.1252400000e+08, -3.7135180000e-02, 3.0319530000e-02, -2.6385941346e+01, -3.5242218721e+01, 2.7518210000e-02, 1.8045080000e-02, -2.9654209532e+01, 5.8040713585e-01, -1.4185290000e-03, 2.9011640000e-04, -5.6785274960e+01, -1.5909700401e+01, 0.0000000000e+00
1.1522200000e+08, 5.0334100000e-03, 4.7319360000e-02, -2.6450359127e+01, -3.6234288079e+01, 2.7351500000e-02, 1.8098010000e-02, -2.9683320392e+01, 5.8454411246e-01, -1.4569600000e-02, 1.7821600000e-02, -3.2758202834e+01, -1.6593423770e+01, 0.0000000000e+00
1.1792000000e+08, 4.2150860000e-02, 2.1555170000e-02, -2.6494960652e+01, -3.7226400547e+01, 2.7486150000e-02, 1.8331270000e-02, -2.9619667499e+01, 5.8818317626e-01, 9.6760000000e-04, 3.3126680000e-02, -2.9592738057e+01, -1.7307960377e+01, 0.0000000000e+00
1.2061800000e+08, 4.1058040000e-02, -2.3264580000e-02, -2.6522791333e+01, -3.8214630566e+01, 2.7882890000e-02, 1.8544750000e-02, -2.9502536588e+01, 5.8691322189e-01, 1.6858740000e-02, 1.8385060000e-02, -3.2060507669e+01, -1.8020877327e+01, 0.0000000000e+00
1.2331600000e+08, 2.9076670000e-03, -4.7005730000e-02, -2.6540397935e+01, -3.9208129172e+01, 2.8364640000e-02, 1.8434760000e-02, -2.9414247396e+01, 5.7631930598e-01, 4.4589850000e-03, 9.0896960000e-04, -4.6838456332e+01, -1.8648460008e+01, 0.0000000000e+00
1.2601400000e+08, -3.7658670000e-02, -2.8045720000e-02, -2.6566430447e+01, -4.0200581676e+01, 2.8459670000e-02, 1.8086610000e-02, -2.9442096369e+01, 5.6612652823e-01, -1.5230210000e-02, 5.4842220000e-03, -3.5816390593e+01, -1.6053597107e+01, 0.0000000000e+00
1.2871200000e+08, -4.3714160000e-02, 1.5895700000e-02, -2.6648228139e+01, -4.1189468263e+01, 2.8570310000e-02, 1.7832910000e-02, -2.9452815279e+01, 5.5800676274e-01, -2.4645000000e-02, 2.3077270000e-02, -2.9431193724e+01, -1.6460522122e+01, 0.0000000000e+00
1.3141000000e+08, -1.0531740000e-02, 4.5153590000e-02, -2.6676091662e+01, -4.2182354956e+01, 2.8358860000e-02, 1.7675250000e-02, -2.9520870512e+01, 5.5735489546e-01, -1.7854620000e-02, 4.7782330000e-02, -2.5847029701e+01, -1.6921159194e+01, 0.0000000000e+00
1.3410800000e+08, 3.1623280000e-02, 3.3349820000e-02, -2.6752562578e+01, -4.3170332088e+01, 2.8269010000e-02, 1.7810510000e-02, -2.9521991592e+01, 5.6221292039e-01, 1.5272560000e-02, 5.9601810000e-02, -2.4218621974e+01, -1.7529605548e+01, 0.0000000000e+00
1.3680600000e+08, 4.5154560000e-02, -8.1779050000e-03, -2.6765803174e+01, -4.4161464244e+01, 2.8669450000e-02, 1.7997240000e-02, -2.9408767750e+01, 5.6057421866e-01, 4.6830590000e-02, 3.1211720000e-02, -2.4993141415e+01, -1.8261681549e+01, 0.0000000000e+00
1.3950400000e+08, 1.7837650000e-02, -4.2303540000e-02, -2.6761765227e+01, -4.5154056455e+01, 2.8967330000e-02, 1.7683940000e-02, -2.9386123905e+01, 5.4808887203e-01, 3.5048640000e-02, -1.1256730000e-02, -2.8680218809e+01, -1.9160323920e+01, 0.0000000000e+00
1.4220200000e+08, -2.5543430000e-02, -3.8004150000e-02, -2.6784466719e+01, -4.6144863432e+01, 2.8878430000e-02, 1.7571320000e-02, -2.9420620696e+01, 5.4661562666e-01, -3.5481220000e-03, -2.1108320000e-02, -3.3389919840e+01, -2.0586886599e+01, 0.0000000000e+00
1.4490000000e+08, -4.5481920000e-02, 6.3166710000e-04, -2.6842386592e+01, -4.7137777223e+01, 2.8838010000e-02, 1.7577820000e-02, -2.9428626056e+01, 5.4740214877e-01, -3.0634640000e-02, -7.4854610000e-04, -3.0273152191e+01, -2.1966718806e+01, 0.0000000000e+00
1.4759800000e+08, -2.4369840000e-02, 3.8167570000e-02, -2.6881079279e+01, -4.8126440652e+01, 2.8763120000e-02, 1.7687010000e-02, -2.9430390007e+01, 5.5131772141e-01, -3.5579600000e-02, 3.0446250000e-02, -2.6589847224e+01, -2.2698955247e+01, 0.0000000000e+00
1.5029600000e+08, 1.8591430000e-02, 4.1124300000e-02, -2.6910410976e+01, -4.9119267560e+01, 2.8901860000e-02, 1.8028920000e-02, -2.9354074498e+01, 5.5773442743e-01, -1.4534500000e-02, 5.6580930000e-02, -2.4669078267e+01, -2.3310501654e+01, 0.0000000000e+00
1.5299400000e+08, 4.4465140000e-02, 6.9598550000e-03, -2.6934488294e+01, -5.0110218401e+01, 2.9425530000e-02, 1.7804270000e-02, -2.9270689137e+01, 5.4413324749e-01, 1.8844720000e-02, 5.2642990000e-02, -2.5049543650e+01, -2.3905704058e+01, 0.0000000000e+00
1.5569200000e+08, 3.0039180000e-02, -3.3157640000e-02, -2.6985833449e+01, -5.1100185833e+01, 2.9495310000e-02, 1.7465860000e-02, -2.9299512013e+01, 5.3463277295e-01, 2.8354560000e-02, 2.7076980000e-02, -2.8132854688e+01, -2.4370386875e+01, 0.0000000000e+00
1.5839000000e+08, -1.1318660000e-02, -4.3081170000e-02, -2.7024366021e+01, -5.2093201064e+01, 2.9332240000e-02, 1.7161900000e-02, -2.9374514389e+01, 5.2938157249e-01, 1.7384270000e-02, 1.5647290000e-02, -3.2619725586e+01, -2.4399880142e+01, 0.0000000000e+00
1.6108800000e+08, -4.2068720000e-02, -1.4069660000e-02, -2.7060339336e+01, -5.3084324670e+01, 2.9053430000e-02, 1.7290060000e-02, -2.9419355435e+01, 5.3681801632e-01, 1.4324860000e-02, 1.5788550000e-02, -3.3424852953e+01, -2.4298775369e+01, 0.0000000000e+00
1.6378600000e+08, -3.4653710000e-02, 2.7352660000e-02, -2.7101775486e+01, -5.4075266178e+01, 2.9055440000e-02, 1.7522340000e-02, -2.9388299823e+01, 5.4267066155e-01, 1.3064080000e-02, 8.3253280000e-03, -3.6198226481e+01, -2.4565368152e+01, 0.0000000000e+00
1.6648400000e+08, 3.8868910000e-03, 4.3704370000e-02, -2.7155286861e+01, -5.5066574042e+01, 2.9209210000e-02, 1.7815360000e-02, -2.9316044652e+01, 5.4768366909e-01, 1.7359370000e-03, 3.3159380000e-03, -4.8535952801e+01, -2.4044225570e+01, 0.0000000000e+00
1.6918200000e+08, 3.8403850000e-02, 2.0599480000e-02, -2.7214306084e+01, -5.6056332915e+01, 2.9499360000e-02, 1.7692360000e-02, -2.9269301513e+01, 5.4023861929e-01, -1.0139620000e-02, 7.3265730000e-03, -3.8055118396e+01, -2.2616861345e+01, 0.0000000000e+00
1.7188000000e+08, 3.8082690000e-02, -2.0704470000e-02, -2.7260809962e+01, -5.7046639197e+01, 2.9523560000e-02, 1.7366450000e-02, -2.9306152929e+01, 5.3171525982e-01, -2.1674200000e-02, 1.8539140000e-02, -3.0896581077e+01, -2.2698743413e+01, 0.0000000000e+00
1.7457800000e+08, 3.5728980000e-03, -4.2882980000e-02, -2.7324257208e+01, -5.8036338692e+01, 2.9251050000e-02, 1.7205010000e-02, -2.9386846563e+01, 5.3168622276e-01, -2.2531520000e-02, 4.4601270000e-02, -2.6025914274e+01, -2.3094164557e+01, 0.0000000000e+00
1.7727600000e+08, -3.3757560000e-02, -2.6292250000e-02, -2.7373459862e+01, -5.9028546304e+01, 2.9241660000e-02, 1.7426650000e-02, -2.9360054518e+01, 5.3743832508e-01, 7.6857370000e-03, 6.5564510000e-02, -2.3607351446e+01, -2.3678636386e+01, 0.0000000000e+00
1.7997400000e+08, -4.0642010000e-02, 1.3652820000e-02, -2.7356137424e+01, -6.0014345034e+01, 2.9333050000e-02, 1.7418950000e-02, -2.9341038692e+01, 5.3587302822e-01, 4.5666720000e-02, 4.7702620000e-02, -2.3604149818e+01, -2.4325541718e+01, 0.0000000000e+00
1.8267200000e+08, -1.0809590000e-02, 4.1545100000e-02, -2.7345117640e+01, -6.1006511392e+01, 2.9651260000e-02, 1.7491220000e-02, -2.9262303448e+01, 5.3295847049e-01, 5.0942390000e-02, 6.5052810000e-03, -2.5788164598e+01, -2.5005729863e+01, 0.0000000000e+00
1.8537000000e+08, 2.8756880000e-02, 3.1471860000e-02, -2.7405408452e+01, -6.2001407589e+01, 2.9817480000e-02, 1.7373740000e-02, -2.9241141456e+01, 5.2757910606e-01, 2.5090640000e-02, -2.1313190000e-02, -2.9650539454e+01, -2.5836914649e+01, 0.0000000000e+00
1.8806800000e+08, 4.2063090000e-02, -6.7398560000e-03, -2.7411881729e+01, -6.2990734604e+01, 2.9732070000e-02, 1.7067140000e-02, -2.9298574517e+01, 5.2110600183e-01, -1.2160070000e-02, -2.3839720000e-02, -3.1449659549e+01, -2.7175213467e+01, 0.0000000000e+00
1.9076600000e+08, 1.7380860000e-02, -3.8840530000e-02, -2.7421580400e+01, -6.3981882364e+01, 2.9608830000e-02, 1.7261210000e-02, -2.9300981038e+01, 5.2780710797e-01, -4.2856000000e-02, 4.2340320000e-03, -2.7317582303e+01, -2.8372811022e+01, 0.0000000000e+00
1.9346400000e+08, -2.2885400000e-02, -3.5674570000e-02, -2.7455929700e+01, -6.4973029241e+01, 2.9655570000e-02, 1.7451630000e-02, -2.9266438147e+01, 5.3190384774e-01, -3.7457630000e-02, 4.8940630000e-02, -2.4204153890e+01, -2.9191865424e+01, 0.0000000000e+00
1.9616200000e+08, -4.2180970000e-02, -4.2806910000e-04, -2.7497221491e+01, -6.5963297680e+01, 2.9715740000e-02, 1.7652600000e-02, -2.9227631331e+01, 5.3603213457e-01, 1.2323090000e-03, 6.7424360000e-02, -2.3422212846e+01, -2.9863405085e+01, 0.0000000000e+00
1.9886000000e+08, -2.3519550000e-02, 3.5014400000e-02, -2.7497807370e+01, -6.6952755494e+01, 3.0025310000e-02, 1.7427400000e-02, -2.9189288013e+01, 5.2590074308e-01, 3.1315760000e-02, 4.9788810000e-02, -2.4609738071e+01, -3.0406580590e+01, 0.0000000000e+00
2.0155800000e+08, 1.6348550000e-02, 3.8662720000e-02, -2.7539741304e+01, -6.7944290635e+01, 3.0168760000e-02, 1.7287970000e-02, -2.9175636459e+01, 5.2036163147e-01, 3.7709710000e-02, 2.4662210000e-02, -2.6924511589e+01, -3.0836743394e+01, 0.0000000000e+00
2.0425600000e+08, 4.1180640000e-02, 7.4971700000e-03, -2.7564528426e+01, -6.8934954977e+01, 2.9992830000e-02, 1.7043040000e-02, -2.9244402421e+01, 5.1673696008e-01, 2.9460800000e-02, 3.1341780000e-03, -3.0566233193e+01, -3.1309940488e+01, 0.0000000000e+00
2.0695400000e+08, 2.8788190000e-02, -3.0266720000e-02, -2.7582458291e+01, -6.9925467843e+01, 3.0012660000e-02, 1.7257130000e-02, -2.9213372142e+01, 5.2183053628e-01, 5.8407360000e-03, -7.1624610000e-03, -4.0684656280e+01, -3.2302622943e+01, 0.0000000000e+00
2.0965200000e+08, -9.4934570000e-03, -4.0476790000e-02, -2.7623315572e+01, -7.0916211414e+01, 2.9968340000e-02, 1.7295940000e-02, -2.9218148123e+01, 5.2344136604e-01, -1.5879330000e-02, 7.7830210000e-03, -3.5048324867e+01, -3.5013243983e+01, 0.0000000000e+00
2.1235000000e+08, -3.8845670000e-02, -1.4255830000e-02, -2.7664417618e+01, -7.1904904485e+01, 2.9980410000e-02, 1.7606400000e-02, -2.9176418464e+01, 5.3100177246e-01, -1.2468650000e-02, 2.9060350000e-02, -3.0000125187e+01, -3.5723010573e+01, 0.0000000000e+00
2.1504800000e+08, -3.3012310000e-02, 2.4653660000e-02, -2.7701606520e+01, -7.2898082294e+01, 3.0164420000e-02, 1.7533580000e-02, -2.9145957202e+01, 5.2653129409e-01, -8.5918810000e-04, 3.2721800000e-02, -2.9700263076e+01, -3.6102064188e+01, 0.0000000000e+00
2.1774600000e+08, 2.4858430000e-03, 4.1067820000e-02, -2.7714083949e+01, -7.3887883787e+01, 3.0375980000e-02, 1.7337560000e-02, -2.9124701670e+01, 5.1864608255e-01, 1.9004850000e-03, 3.2509740000e-02, -2.9744913591e+01, -3.6186708001e+01, 0.0000000000e+00
2.2044400000e+08, 3.5734430000e-02, 2.0356560000e-02, -2.7717693310e+01, -7.4880410031e+01, 3.0370050000e-02, 1.7244130000e-02, -2.9137469917e+01, 5.1640684286e-01, 7.3600270000e-03, 3.6089700000e-02, -2.8675365206e+01, -3.6329493820e+01, 0.0000000000e+00
2.2314200000e+08, 3.6474660000e-02, -1.8591740000e-02, -2.7757120920e+01, -7.5869614332e+01, 3.0337670000e-02, 1.7094280000e-02, -2.9162865084e+01, 5.1312383498e-01, 1.4743290000e-02, 3.2769990000e-02, -2.8889940901e+01, -3.6551088094e+01, 0.0000000000e+00
2.2584000000e+08, 4.4248390000e-03, -4.0554010000e-02, -2.7787926746e+01, -7.6860340151e+01, 3.0045130000e-02, 1.7115510000e-02, -2.9223957432e+01, 5.1781189904e-01, 1.6839850000e-02, 2.9567440000e-02, -2.9363611823e+01, -3.6646037041e+01, 0.0000000000e+00
2.2853800000e+08, -3.1268970000e-02, -2.5892330000e-02, -2.7830003040e+01, -7.7848203082e+01, 2.9985710000e-02, 1.7321520000e-02, -2.9211163986e+01, 5.2383041145e-01, 2.5149950000e-02, 2.6243830000e-02, -2.8790121735e+01, -3.6892432605e+01, 0.0000000000e+00
2.3123600000e+08, -3.8655930000e-02, 1.1928620000e-02, -2.7860646448e+01, -7.8839130077e+01, 3.0127800000e-02, 1.7502320000e-02, -2.9157757547e+01, 5.2628380829e-01, 2.9259600000e-02, 6.3404890000e-03, -3.0475340091e+01, -3.7485713527e+01, 0.0000000000e+00
2.3393400000e+08, -1.1180440000e-02, 3.8742080000e-02, -2.7888925462e+01, -7.9829659614e+01, 3.0349770000e-02, 1.7487160000e-02, -2.9111875402e+01, 5.2272630657e-01, 6.6467730000e-03, -1.1818210000e-02, -3.7355371243e+01, -3.8757581069e+01, 0.0000000000e+00
2.3663200000e+08, 2.6181050000e-02, 3.0570750000e-02, -2.7904801239e+01, -8.0818815447e+01, 3.0506300000e-02, 1.7252140000e-02, -2.9107059171e+01, 5.1468601947e-01, -2.3358560000e-02, 4.4478840000e-04, -3.2629504260e+01, -4.0859743969e+01, 0.0000000000e+00
2.3933000000e+08, 3.9724260000e-02, -5.1622540000e-03, -2.7946154307e+01, -8.1810636967e+01, 3.0299370000e-02, 1.7038200000e-02, -2.9178065054e+01, 5.1225918981e-01, -3.1208300000e-02, 3.0824280000e-02, -2.7157736636e+01, -4.1619912121e+01, 0.0000000000e+00
2.4202800000e+08, 1.7375740000e-02, -3.5841820000e-02, -2.7995455792e+01, -8.2800799942e+01, 2.9989300000e-02, 1.6864960000e-02, -2.9267271709e+01, 5.1228759421e-01, -1.6088660000e-02, 5.8028360000e-02, -2.4405559660e+01, -4.2141039255e+01, 0.0000000000e+00
2.4472600000e+08, -2.0331670000e-02, -3.4104650000e-02, -2.8023049349e+01, -8.3789793086e+01, 2.9740530000e-02, 1.7141380000e-02, -2.9287345273e+01, 5.2285898918e-01, 1.8265520000e-02, 6.8708450000e-02, -2.2963234899e+01, -4.2671332165e+01, 0.0000000000e+00
2.4742400000e+08, -3.9546840000e-02, -1.6991040000e-03, -2.8049754861e+01, -8.4780063711e+01, 2.9748110000e-02, 1.7236990000e-02, -2.9273590557e+01, 5.2515824169e-01, 5.3375990000e-02, 4.4287420000e-02, -2.3178213480e+01, -4.3289691869e+01, 0.0000000000e+00
2.5012200000e+08, -2.2771180000e-02, 3.2062260000e-02, -2.8106458198e+01, -8.5776247454e+01, 3.0593500000e-02, 1.7500110000e-02, -2.9058028490e+01, 5.1959224406e-01, 5.0571700000e-02, -1.5210580000e-03, -2.5917921909e+01, -4.4012365342e+01, 0.0000000000e+00
