#Frequency (Hz), CH2_S21_S1re (), CH2_S21_S1im (), CH2_S21_S1dB (dB), CH2_S21_S1Ph (rad)
5.2710000000e+09, 2.9275510000e-04, -1.0465930000e-03, -5.9277271357e+01, -1.2980454202e+00
5.2720000000e+09, 3.1997460000e-04, -1.0250110000e-03, -5.9381589052e+01, -1.2682148687e+00
5.2730000000e+09, 2.8998820000e-04, -1.0445420000e-03, -5.9299025760e+01, -1.2999937804e+00
5.2740000000e+09, 3.0053250000e-04, -1.0607200000e-03, -5.9152640805e+01, -1.2947035254e+00
5.2750000000e+09, 3.2727290000e-04, -1.0792740000e-03, -5.8955334027e+01, -1.2763749288e+00
5.2760000000e+09, 3.0233040000e-04, -1.0436700000e-03, -5.9278785565e+01, -1.2888340400e+00
5.2770000000e+09, 2.8774390000e-04, -1.0663390000e-03, -5.9136845213e+01, -1.3072310182e+00
5.2780000000e+09, 2.8558460000e-04, -1.0764670000e-03, -5.9064593324e+01, -1.3114721205e+00
5.2790000000e+09, 2.9213740000e-04, -1.0670640000e-03, -5.9122292834e+01, -1.3035676420e+00
5.2800000000e+09, 3.1166800000e-04, -1.0356660000e-03, -5.9319102854e+01, -1.2784820858e+00
5.2810000000e+09, 3.1062290000e-04, -1.0720490000e-03, -5.9045601641e+01, -1.2887723641e+00
5.2820000000e+09, 2.7633210000e-04, -1.0229960000e-03, -5.9496665585e+01, -1.3069722662e+00
5.2830000000e+09, 3.2905060000e-04, -1.0648000000e-03, -5.9058527608e+01, -1.2710797506e+00
5.2840000000e+09, 3.1962760000e-04, -1.0720980000e-03, -5.9025497397e+01, -1.2810534206e+00
5.2850000000e+09, 2.5308470000e-04, -1.0246630000e-03, -5.9531202168e+01, -1.3286496749e+00
5.2860000000e+09, 3.0943480000e-04, -1.0398840000e-03, -5.9291834566e+01, -1.2815734544e+00
5.2870000000e+09, 2.7930760000e-04, -1.0504010000e-03, -5.9276195776e+01, -1.3109045273e+00
5.2880000000e+09, 2.8742950000e-04, -1.0074140000e-03, -5.9595959915e+01, -1.2928666153e+00
5.2890000000e+09, 3.4169120000e-04, -9.9895570000e-04, -5.9528554924e+01, -1.2412228246e+00
5.2900000000e+09, 2.8028910000e-04, -1.0361040000e-03, -5.9385198210e+01, -1.3065978682e+00
5.2910000000e+09, 2.9090410000e-04, -1.1084640000e-03, -5.8816302242e+01, -1.3141451355e+00
5.2920000000e+09, 2.6331870000e-04, -1.0440500000e-03, -5.9357752670e+01, -1.3237397838e+00
5.2930000000e+09, 3.4573170000e-04, -1.0028310000e-03, -5.9487701133e+01, -1.2388011106e+00
5.2940000000e+09, 2.7678550000e-04, -1.0212540000e-03, -5.9509487685e+01, -1.3061292615e+00
5.2950000000e+09, 3.0070400000e-04, -1.0504360000e-03, -5.9230543521e+01, -1.2919867652e+00
5.2960000000e+09, 2.5637560000e-04, -1.0479250000e-03, -5.9340935656e+01, -1.3308585874e+00
5.2970000000e+09, 2.9559610000e-04, -1.0582110000e-03, -5.9182252432e+01, -1.2984037442e+00
5.2980000000e+09, 3.1856940000e-04, -1.0819320000e-03, -5.8954912717e+01, -1.2844436796e+00
5.2990000000e+09, 3.2773280000e-04, -1.0661510000e-03, -5.9051493377e+01, -1.2725661730e+00
5.3000000000e+09, 2.4962160000e-04, -1.0583460000e-03, -5.9272329348e+01, -1.3391694299e+00

